name,modifiedlines
KeysSearcher.java,	2
Mutation.java,	2
CommitLogReplayer.java,	2
PaxosState.java,	2
UDHelper.java,	2
ScriptBasedUDFunction.java,	2
Gossiper.java,	2
Gossiper.java,	2
HintsReader.java,	2
LogFile.java,	2
Selection.java,	2
AsciiType.java,	2
MapType.java,	2
UTF8Type.java,	2
UserType.java,	2
IndexMode.java,	2
TrieMemIndex.java,	2
OutboundTcpConnectionPool.java,	2
CompressedChecksummedDataInput.java,	2
OutboundTcpConnectionPool.java,	2
Scrubber.java,	2
RealTransactionsTest.java,	2
CompactionAwareWriter.java,	2
UserType.java,	2
ScriptBasedUDFunction.java,	2
HintsBufferTest.java,	2
OutboundTcpConnection.java,	2
ExecuteMessage.java,	2
SchemaKeyspace.java,	2
View.java,	2
SplittingSizeTieredCompactionWriter.java,	2
SecondaryIndexTest.java,	2
DatabaseDescriptor.java,	2
DatabaseDescriptor.java,	2
DatabaseDescriptor.java,	2
DatabaseDescriptor.java,	2
ModificationStatement.java,	2
LegacyLayout.java,	2
UnfilteredSerializer.java,	2
RowTest.java,	2
UnfilteredRowIteratorsMergeTest.java,	2
PerSSTableIndexWriterTest.java,	2
OperationTest.java,	2
DataResolverTest.java,	2
PagingStateTest.java,	2
OnDiskIndex.java,	2
PerSSTableIndexWriter.java,	2
AbstractRow.java,	2
PagingState.java,	2
StressMetrics.java,	2
WorkManager.java,	2
OpDistributionFactory.java,	2
SettingsCommandPreDefined.java,	2
SettingsCommandPreDefinedMixed.java,	2
StressMetrics.java,	2
WorkManager.java,	2
OpDistributionFactory.java,	2
SettingsCommandPreDefined.java,	2
SettingsCommandPreDefinedMixed.java,	2
StreamSession.java,	2
DatabaseDescriptor.java,	2
LeveledCompactionStrategy.java,	2
StandaloneScrubber.java,	2
TrackerTest.java,	2
SerializationHeader.java,	2
RepairRunnable.java,	2
ColumnFamilyStore.java,	2
SSTableReader.java,	2
SSTableWriter.java,	2
Repair.java,	2
RandomAccessReaderTest.java,	2
StatementRestrictions.java,	2
PrepareCallback.java,	2
LeveledCompactionStrategyTest.java,	2
JsonTest.java,	2
BigTableWriter.java,	2
CompactionStats.java,	2
NetStats.java,	2
TableStats.java,	2
ConnectionHandler.java,	2
ActiveRepairService.java,	2
ViewManager.java,	2
StorageServiceMBean.java,	2
OperationTest.java,	2
Directories.java,	2
DatabaseDescriptor.java,	2
Descriptor.java,	2
TermIterator.java,	2
Murmur3Partitioner.java,	2
CassandraIndex.java,	2
Restrictions.java,	2
SecondaryIndexManager.java,	2
CreateViewStatement.java,	2
QueryProcessor.java,	2
ReadCommand.java,	2
AbstractCell.java,	2
ReadCommand.java,	2
AbstractCell.java,	2
Constants.java,	2
UntypedResultSet.java,	2
AbstractFunction.java,	2
UDAggregate.java,	2
Selector.java,	2
DeleteStatement.java,	2
ModificationStatement.java,	2
Functions.java,	2
LegacySchemaMigrator.java,	2
DataType.java,	2
CQL3TypeLiteralTest.java,	2
SelectionColumnMappingTest.java,	2
CommitLog.java,	2
UDFByteCodeVerifier.java,	2
SSTableIterator.java,	2
SSTableReversedIterator.java,	2
CqlRecordWriter.java,	2
LongLeveledCompactionStrategyTest.java,	2
FrozenCollectionsTest.java,	2
ClusteringComparator.java,	2
SASIIndexBuilder.java,	2
KeyspaceTest.java,	2
FailureDetector.java,	2
SizeEstimatesRecorder.java,	2
StorageServiceMBean.java,	2
Cleanup.java,	2
Repair.java,	2
BootStrapperTest.java,	2
Interval.java,	2
Interval.java,	2
DynamicEndpointSnitch.java,	2
StorageServiceMBean.java,	2
Info.java,	2
SchemaLoader.java,	2
AlterTableStatement.java,	2
AlterTypeStatement.java,	2
CreateIndexStatement.java,	2
CreateTriggerStatement.java,	2
DropIndexStatement.java,	2
DropTriggerStatement.java,	2
CassandraServer.java,	2
ClusteringColumnRestrictions.java,	2
StatementRestrictions.java,	2
SinglePartitionSliceCommandTest.java,	2
Scrubber.java,	2
SSTableReader.java,	2
ICompressedFile.java,	2
BufferPool.java,	2
SelectionColumnMappingTest.java,	2
CompressedSequentialWriterTest.java,	2
MultiPartitionPager.java,	2
QueryProcessor.java,	2
JavaBasedUDFunction.java,	2
AlterTableStatement.java,	2
Resources.java,	2
StartupChecks.java,	2
NodeTool.java,	2
RMIServerSocketFactoryImplTest.java,	2
Function.java,	2
CompactionTask.java,	2
AuthenticationProxy.java,	2
ExecutorLocal.java,	2
AbstractType.java,	2
RowDiffListener.java,	2
Gossiper.java,	2
SSTableReader.java,	2
Slices.java,	2
IntervalTree.java,	2
Util.java,	2
RepairMessageVerbHandler.java,	2
SSTableReversedIterator.java,	2
SafeMemoryWriter.java,	2
SystemKeyspace.java,	2
CassandraDaemon.java,	2
DirectoriesTest.java,	2
Keyspace.java,	2
Cell.java,	2
ColumnData.java,	2
RowDiffListener.java,	2
UnfilteredRowIterators.java,	2
BigTableWriter.java,	2
Config.java,	2
MaxSSTableSizeWriter.java,	2
Directories.java,	2
Scrubber.java,	2
Version.java,	2
BigTableWriter.java,	2
CommitLogStressTest.java,	2
CommitLogTestReplayer.java,	2
ViewTest.java,	2
CompressedSequentialWriterTest.java,	2
IntervalTreeTest.java,	2
LeveledCompactionStrategyTest.java,	2
CompactionManager.java,	2
Scrubber.java,	2
Upgrader.java,	2
GCInspector.java,	2
GCInspector.java,	2
SettingsPopulation.java,	2
LazilyCompactedRow.java,	2
Keyspace.java,	2
StorageService.java,	2
CompactionManager.java,	2
Config.java,	2
AbstractSSTableIterator.java,	2
Rows.java,	2
RebufferingInputStream.java,	2
StorageService.java,	2
LeveledCompactionStrategyTest.java,	2
AbstractCompactionStrategy.java,	2
BatchStatement.java,	2
SerDeserTest.java,	2
CassandraDaemon.java,	2
DirectoriesTest.java,	2
SinglePartitionReadCommand.java,	2
CompactionTask.java,	2
ColumnFamilyStore.java,	2
CommitLogStressTest.java,	2
CommitLogUpgradeTestMaker.java,	2
CounterMutation.java,	2
CFMetaData.java,	2
AuthCache.java,	2
AutoSavingCache.java,	2
TruncateStatement.java,	2
CompactionStrategyManager.java,	2
CqlInputFormat.java,	2
StopWordFactory.java,	2
DataOutputStreamPlus.java,	2
SafeMemory.java,	2
RepairRunnable.java,	2
AsyncRepairCallback.java,	2
StorageService.java,	2
IncomingFileMessage.java,	2
OutgoingFileMessage.java,	2
NodeProbe.java,	2
TraceStateImpl.java,	2
StorageService.java,	2
DeleteStatement.java,	2
SchemaKeyspace.java,	2
AuthenticationProxy.java,	2
TimeWindowCompactionStrategy.java,	2
DropKeyspaceStatement.java,	2
ViewManager.java,	2
BufferPool.java,	2
OutOfSpaceTest.java,	2
HintsEncryptionTest.java,	2
IncomingTcpConnection.java,	2
CommitLogReader.java,	2
RowFilter.java,	2
WithOnlyQueriedData.java,	2
IndexNotAvailableException.java,	2
SecondaryIndexManager.java,	2
TokenMetadata.java,	2
HintsServiceMetrics.java,	2
SEPExecutor.java,	2
SSTableMetadataViewer.java,	2
PartitionUpdate.java,	2
DatabaseDescriptor.java,	2
Config.java,	2
FileUtils.java,	2
StartupChecks.java,	2
CompressorTest.java,	2
CQLTester.java,	2
MemtableAllocator.java,	2
DatabaseDescriptor.java,	2
StreamingHistogram.java,	2
StemmingFilters.java,	2
IndexSummaryBuilder.java,	2
ICompressor.java,	2
StorageProxy.java,	2
CommitLogSegmentManagerCDC.java,	2
MemoryUtil.java,	2
LazilyCompactedRow.java,	2
StorageProxyMBean.java,	2
TableStats.java,	2
CommitLogReader.java,	2
CreateViewStatement.java,	2
CommitLogReader.java,	2
CommitLogSegmentManagerCDC.java,	2
PartitionRangeReadCommand.java,	2
AbstractCompactionStrategy.java,	2
CompactionController.java,	2
DateTieredCompactionStrategy.java,	2
TimeWindowCompactionStrategy.java,	2
ViewTest.java,	2
Tracker.java,	2
SecondaryIndexManager.java,	2
CassandraIndex.java,	2
IndexSummaryManager.java,	2
CustomCassandraIndex.java,	2
